Day,Occupant's Activity,Occupant's Zone,Zone Arrival Time (Minute),Zone Leaving Time (Minute),Stay Duration (Minute)
1,11,1,0,300,300
1,15,4,301,302,1
1,11,1,303,322,19
1,11,1,323,647,324
1,1,0,648,652,4
1,15,4,653,656,3
1,3,3,657,690,33
1,1,0,691,710,19
1,15,4,711,712,1
1,13,2,713,839,126
1,13,2,840,917,77
1,5,3,918,1009,91
1,1,0,1010,1016,6
1,9,3,1017,1029,12
1,13,2,1030,1135,105
1,13,2,1136,1165,29
1,13,2,1166,1207,41
1,13,2,1208,1349,141
1,10,3,1350,1353,3
1,12,2,1354,1439,85
2,12,2,0,61,61
2,15,4,62,63,1
2,11,1,64,540,476
2,15,4,541,542,1
2,1,0,543,568,25
2,14,4,569,577,8
2,27,1,578,585,7
2,1,0,586,597,11
2,3,3,598,616,18
2,1,0,617,624,7
2,15,4,625,627,2
2,1,0,628,1230,602
2,27,1,1231,1233,2
2,1,0,1234,1247,13
2,13,2,1248,1365,117
2,11,1,1366,1439,73
3,11,1,0,485,485
3,15,4,486,487,1
3,3,3,488,514,26
3,1,0,515,522,7
3,15,4,523,524,1
3,27,1,525,527,2
3,1,0,528,529,1
3,21,4,530,531,1
3,1,0,532,1419,887
3,15,4,1420,1421,1
3,27,1,1422,1423,1
3,1,0,1424,1428,4
3,13,2,1429,1439,10
4,13,2,0,25,25
4,10,3,26,28,2
4,13,2,29,83,54
4,11,1,84,524,440
4,15,4,525,527,2
4,27,1,528,531,3
4,3,3,532,544,12
4,1,0,545,551,6
4,25,2,552,571,19
4,1,0,572,577,5
4,1,0,578,580,2
4,15,4,581,583,2
4,1,0,584,1304,720
4,27,1,1305,1308,3
4,1,0,1309,1312,3
4,25,2,1313,1320,7
4,7,3,1321,1325,4
4,12,2,1326,1414,88
4,15,4,1415,1416,1
4,11,1,1417,1439,22
5,11,1,0,514,514
5,15,4,515,526,11
5,27,1,527,531,4
5,1,0,532,1335,803
5,15,4,1336,1337,1
5,27,1,1338,1339,1
5,1,0,1340,1341,1
5,25,2,1342,1439,97
6,12,2,0,35,35
6,11,1,36,491,455
6,15,4,492,493,1
6,3,3,494,507,13
6,18,2,508,515,7
6,9,3,516,517,1
6,27,1,518,520,2
6,15,4,521,524,3
6,1,0,525,1439,914
7,2,0,0,32,32
7,15,4,33,34,1
7,27,1,35,36,1
7,1,0,37,40,3
7,12,2,41,46,5
7,7,3,47,48,1
7,12,2,49,96,47
7,11,1,97,579,482
7,15,4,580,581,1
7,1,0,582,596,14
7,13,2,597,643,46
7,3,3,644,670,26
7,12,2,671,720,49
7,14,4,721,730,9
7,27,1,731,734,3
7,1,0,735,740,5
7,21,4,741,744,3
7,1,0,745,761,16
7,13,2,762,802,40
7,1,0,803,1439,636
8,2,0,0,921,921
8,15,4,922,925,3
8,27,1,926,927,1
8,13,2,928,961,33
8,10,3,962,966,4
8,13,2,967,976,9
8,1,0,977,984,7
8,13,2,985,997,12
8,15,4,998,999,1
8,1,0,1000,1007,7
8,14,4,1008,1020,12
8,27,1,1021,1024,3
8,1,0,1025,1040,15
8,13,2,1041,1133,92
8,10,3,1134,1137,3
8,1,0,1138,1143,5
8,12,2,1144,1336,192
8,1,0,1337,1342,5
8,12,2,1343,1365,22
8,1,0,1366,1367,1
8,12,2,1368,1439,71
9,12,2,0,24,24
9,15,4,25,26,1
9,11,1,27,526,499
9,15,4,527,528,1
9,3,3,529,551,22
9,15,4,552,553,1
9,4,3,554,563,9
9,1,0,564,568,4
9,9,3,569,570,1
9,25,2,571,586,15
9,1,0,587,621,34
9,27,1,622,626,4
9,1,0,627,637,10
9,21,4,638,639,1
9,1,0,640,1360,720
9,27,1,1361,1362,1
9,25,2,1363,1439,76
10,12,2,0,39,39
10,15,4,40,41,1
10,11,1,42,580,538
10,15,4,581,582,1
10,1,0,583,593,10
10,15,4,594,596,2
10,3,3,597,614,17
10,25,2,615,639,24
10,27,1,640,642,2
10,1,0,643,1340,697
10,15,4,1341,1343,2
10,7,3,1344,1366,22
10,1,0,1367,1373,6
10,12,2,1374,1439,65
11,12,2,0,47,47
11,11,1,48,641,593
11,15,4,642,644,2
11,1,0,645,662,17
11,25,2,663,667,4
11,15,4,668,669,1
11,1,0,670,678,8
11,3,3,679,711,32
11,12,2,712,772,60
11,1,0,773,823,50
11,27,1,824,825,1
11,1,0,826,832,6
11,9,3,833,834,1
11,1,0,835,841,6
11,21,4,842,844,2
11,1,0,845,1439,594
12,2,0,0,198,198
12,27,1,199,200,1
12,1,0,201,203,2
12,11,1,204,688,484
12,15,4,689,691,2
12,1,0,692,696,4
12,3,3,697,699,2
12,17,1,700,709,9
12,4,3,710,719,9
12,18,2,720,748,28
12,15,4,749,750,1
12,13,2,751,786,35
12,14,4,787,798,11
12,27,1,799,801,2
12,1,0,802,807,5
12,9,3,808,809,1
12,21,4,810,815,5
12,1,0,816,1439,623
13,2,0,0,85,85
13,1,0,86,88,2
13,13,2,89,139,50
13,11,1,140,556,416
13,15,4,557,560,3
13,27,1,561,566,5
13,1,0,567,575,8
13,18,2,576,594,18
13,21,4,595,597,2
13,1,0,598,1388,790
13,27,1,1389,1392,3
13,25,2,1393,1439,46
14,12,2,0,38,38
14,11,1,39,502,463
14,15,4,503,506,3
14,27,1,507,510,3
14,1,0,511,1051,540
14,27,1,1052,1268,216
14,12,2,1269,1382,113
14,15,4,1383,1384,1
14,1,0,1385,1386,1
14,11,1,1387,1439,52
15,2,0,0,80,80
15,21,4,81,83,2
15,15,4,84,87,3
15,11,1,88,582,494
15,15,4,583,584,1
15,1,0,585,597,12
