Day,Occupant's Activity,Occupant's Zone,Zone Arrival Time (Minute),Zone Leaving Time (Minute),Stay Duration (Minute)
1,12,2,0,56,56
1,21,4,57,64,7
1,17,1,65,545,480
1,1,0,546,551,5
1,12,2,552,576,24
1,3,3,577,620,43
1,15,4,621,622,1
1,17,1,623,662,39
1,21,4,663,666,3
1,13,2,667,786,119
1,1,0,787,794,7
1,19,3,795,805,10
1,17,1,806,811,5
1,15,4,812,823,11
1,27,1,824,832,8
1,2,0,833,1231,398
1,7,3,1232,1271,39
1,22,2,1272,1276,4
1,7,3,1277,1327,50
1,17,1,1328,1385,57
1,22,2,1386,1432,46
1,21,4,1433,1436,3
1,12,2,1437,1439,2
2,10,3,0,6,6
2,17,1,7,19,12
2,10,3,20,23,3
2,12,2,24,152,128
2,21,4,153,155,2
2,1,0,156,160,4
2,11,1,161,596,435
2,12,2,597,618,21
2,15,4,619,620,1
2,3,3,621,625,4
2,17,1,626,643,17
2,3,3,644,680,36
2,13,2,681,726,45
2,21,4,727,747,20
2,22,2,748,750,2
2,14,4,751,762,11
2,1,0,763,778,15
2,13,2,779,795,16
2,1,0,796,843,47
2,12,2,844,854,10
2,5,3,855,917,62
2,17,1,918,979,61
2,15,4,980,1004,24
2,17,1,1005,1033,28
2,2,0,1034,1294,260
2,27,1,1295,1297,2
2,12,2,1298,1316,18
2,17,1,1317,1346,29
2,22,2,1347,1369,22
2,15,4,1370,1373,3
2,17,1,1374,1439,65
3,10,3,0,18,18
3,12,2,19,90,71
3,17,1,91,125,34
3,21,4,126,134,8
3,11,1,135,589,454
3,1,0,590,595,5
3,15,4,596,598,2
3,1,0,599,602,3
3,12,2,603,637,34
3,3,3,638,723,85
3,12,2,724,732,8
3,22,2,733,745,12
3,17,1,746,805,59
3,21,4,806,810,4
3,12,2,811,893,82
3,17,1,894,937,43
3,10,3,938,946,8
3,15,4,947,996,49
3,1,0,997,1021,24
3,5,3,1022,1073,51
3,17,1,1074,1075,1
3,22,2,1076,1118,42
3,17,1,1119,1176,57
3,18,2,1177,1213,36
3,27,1,1214,1222,8
3,2,0,1223,1281,58
3,12,2,1282,1289,7
3,27,1,1290,1291,1
3,12,2,1292,1335,43
3,10,3,1336,1346,10
3,15,4,1347,1350,3
3,13,2,1351,1366,15
3,17,1,1367,1374,7
3,22,2,1375,1398,23
3,10,3,1399,1406,7
3,12,2,1407,1439,32
4,12,2,0,6,6
4,17,1,7,12,5
4,22,2,13,23,10
4,17,1,24,63,39
4,21,4,64,72,8
